blockNumber,randomValue
7896029,0x833a695154e7925c247b0f34fc3c11349175521fccf543f08bac599f9e065418
7896030,0x835ae23c6e342e421ccd64336ee88514704214f56d17b4072a88ed7d354e0572
7896031,0x1b7406ef639d72280c4a31e1c11c9f3f9e049f20f061f948d4a2a8efdd72bfd5
7896032,0x130a79ea70ec52b24dba2ab6aa8d98c531984fed33ae567711a75999eb188190
7896033,0x6cf12989bf45e81432d65c4183d7f87fca6ba96c0385018f04e2847357ab6f0d
7896034,0x0218430ab75ba8da996e97cd1cb18725ba2ea6170c8abbaf3db4aa8b963c0339
7896035,0xc730e72a8f1d83fb7399af3b30f6c64b9b4bcabd2deac49bc124c3f341086e71
7896036,0x3b253d685d5f984fb784ff706d7104e6e4549e93fc964745fd6352513772b1bb
7896037,0xa91dd51aa55ee97450a00cd6730a34d1ae2539c4992a2d6a71eaab3a1c1db6cd
7896038,0x826c5049bf7a800bccecc7c83ee6b52940877850feb7c72e815da48b993edec0
7896039,0x25ef8f9f6c6660bd6baeb7ebbfae8fe3ec34f779d8c1e25362b31e69773d0cd7
7896040,0x16fc85804f653c12e6e073ee36383c52b6037469ed0f16722891f039c63e0ff5
7896041,0xf4b367538952d578950b6dabc8cb4a955d7da26746f7a033848d734521e983a5
7896042,0xac2f1cc25ee86c9bdde03054a7b4e1a2e46f38b7e3e32a12e1957d2b6482bd29
7896043,0xdad2b6bcfad0e3841b83064e95c15dffebe349ef008680c7874bd674ed69aa43
7896044,0xc160b7818e9cb693c584b14db2a51fd3a9e8d3fc3c76d0b51b56f0f475507cdb
7896045,0x4704944f93934aad6f08d3b7125b104cf02f897c07b56e869be2c9bbbf5fc3bf
7896046,0x52021fae929a8c24a3d62fea5cd028497225ea3a2109679904b9fdfd8ce91856
7896047,0x9dd789f4fb81a8dd554327c853ebbc8a69380a9bcfc01db231ac4f0094312060
7896048,0x27e3b27cc433d6f12ebceea77b54b38a68512264e420599cd8a7dc744c81a61f
7896049,0x7c6e217736f37430f59be0a77e406ab4fa0ecb87338a5259972e05d9d4d49575
7896050,0xeccd937578d3bdebc2d269982f7652a0816e4984ad62f32e2640f2ce903bd837
